epoch,loss,accuracy,precision,recall,f1,auc_roc
1,0.8174347289970942,0.7266666666666667,0.1276595744680851,1.0,0.22641509433962265,0.9756944444444445
2,0.703622123173305,0.5933333333333334,0.08955223880597014,1.0,0.1643835616438356,0.9409722222222222
3,0.6126403761761529,0.7333333333333333,0.13043478260869565,1.0,0.23076923076923078,0.9560185185185185
4,0.5188925600903375,0.6933333333333334,0.11538461538461539,1.0,0.20689655172413793,0.9085648148148148
5,0.4542168836934226,0.9066666666666666,0.3,1.0,0.46153846153846156,0.96875
